shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
HAMPDEN_shp,44.79996,-68.77059,1,
HAMPDEN_shp,44.80004,-68.77068,2,
HAMPDEN_shp,44.80006,-68.77079,4,
HAMPDEN_shp,44.80006,-68.77088,6,
HAMPDEN_shp,44.80001,-68.77118,8,
HAMPDEN_shp,44.79961,-68.77133,10,
HAMPDEN_shp,44.79971,-68.77217,12,
HAMPDEN_shp,44.79385,-68.7752,16,
HAMPDEN_shp,44.78502,-68.77985,20,
HAMPDEN_shp,44.78489,-68.78004,22,
HAMPDEN_shp,44.78478,-68.78034,24,
HAMPDEN_shp,44.78481,-68.7808,26,
HAMPDEN_shp,44.78532,-68.78246,28,
HAMPDEN_shp,44.7858,-68.78408,30,
HAMPDEN_shp,44.7859,-68.78443,32,
HAMPDEN_shp,44.78594,-68.78465,34,
HAMPDEN_shp,44.78592,-68.78481,36,
HAMPDEN_shp,44.78579,-68.78527,38,
HAMPDEN_shp,44.78573,-68.78559,40,
HAMPDEN_shp,44.78552,-68.78762,42,
HAMPDEN_shp,44.78246,-68.78117,44,
HAMPDEN_shp,44.78149,-68.78181,46,
HAMPDEN_shp,44.78122,-68.78196,48,
HAMPDEN_shp,44.78079,-68.78207,50,
HAMPDEN_shp,44.77934,-68.78408,54,
HAMPDEN_shp,44.77893,-68.78458,56,
HAMPDEN_shp,44.77866,-68.78485,58,
HAMPDEN_shp,44.77832,-68.7851,60,
HAMPDEN_shp,44.77774,-68.78566,62,
HAMPDEN_shp,44.77708,-68.78638,64,
HAMPDEN_shp,44.77633,-68.78727,66,
HAMPDEN_shp,44.77523,-68.78874,68,
HAMPDEN_shp,44.77439,-68.78998,70,
HAMPDEN_shp,44.77341,-68.79129,72,
HAMPDEN_shp,44.76561,-68.80143,74,
HAMPDEN_shp,44.75775,-68.81657,80,
HAMPDEN_shp,44.75542,-68.82023,84,
HAMPDEN_shp,44.75466,-68.82159,86,
HAMPDEN_shp,44.75373,-68.82338,88,
HAMPDEN_shp,44.7508,-68.82918,92,
HAMPDEN_shp,44.75031,-68.83003,94,
HAMPDEN_shp,44.74952,-68.83107,96,
HAMPDEN_shp,44.74909,-68.8318,98,
HAMPDEN_shp,44.7488,-68.83259,100,
HAMPDEN_shp,44.74855,-68.83344,102,
HAMPDEN_shp,44.74807,-68.83457,104,
HAMPDEN_shp,44.74755,-68.83543,106,
HAMPDEN_shp,44.74702,-68.83614,108,
HAMPDEN_shp,44.74584,-68.83701,110,
HAMPDEN_shp,44.74476,-68.83766,112,
HAMPDEN_shp,44.74498,-68.84604,116,
HAMPDEN_shp,44.74505,-68.84697,118,
HAMPDEN_shp,44.74586,-68.85388,122,
HAMPDEN_shp,44.74587,-68.85493,126,
HAMPDEN_shp,44.74598,-68.85743,128,
HAMPDEN_shp,44.74625,-68.86056,130,
HAMPDEN_shp,44.74641,-68.86194,132,
HAMPDEN_shp,44.74393,-68.86268,134,
HAMPDEN_shp,44.7433,-68.86274,136,
HAMPDEN_shp,44.74263,-68.86263,138,
HAMPDEN_shp,44.74025,-68.86158,142,
HAMPDEN_shp,44.73704,-68.86033,146,
HAMPDEN_shp,44.73601,-68.86016,148,
HAMPDEN_shp,44.73413,-68.85937,150,
HAMPDEN_shp,44.73186,-68.85862,154,
HAMPDEN_shp,44.73251,-68.8417,156,
HAMPDEN_shp,44.73405,-68.84151,158,
HAMPDEN_shp,44.7356,-68.84108,162,
HAMPDEN_shp,44.7364,-68.84067,164,
HAMPDEN_shp,44.73839,-68.83937,168,
HAMPDEN_shp,44.7401,-68.83836,172,
HAMPDEN_shp,44.74044,-68.83831,174,
HAMPDEN_shp,44.74088,-68.83825,176,
HAMPDEN_shp,44.74352,-68.83792,180,
HAMPDEN_shp,44.79961,-68.77133,322,
HAMPDEN_shp,44.7995,-68.77039,326,
HAMMOND_shp,44.79996,-68.77059,1,
HAMMOND_shp,44.80004,-68.77068,2,
HAMMOND_shp,44.80006,-68.77079,4,
HAMMOND_shp,44.80006,-68.77088,6,
HAMMOND_shp,44.80001,-68.77118,8,
HAMMOND_shp,44.79961,-68.77133,10,
HAMMOND_shp,44.79971,-68.77217,12,
HAMMOND_shp,44.7988,-68.77264,14,
HAMMOND_shp,44.81259,-68.80102,30,
HAMMOND_shp,44.81092,-68.80329,34,
HAMMOND_shp,44.8107,-68.80361,36,
HAMMOND_shp,44.81057,-68.80345,38,
HAMMOND_shp,44.81043,-68.80351,40,
HAMMOND_shp,44.80937,-68.80162,44,
HAMMOND_shp,44.80867,-68.80022,46,
HAMMOND_shp,44.80838,-68.79968,50,
HAMMOND_shp,44.80804,-68.79937,52,
HAMMOND_shp,44.80769,-68.79925,56,
HAMMOND_shp,44.80724,-68.79935,58,
HAMMOND_shp,44.80578,-68.80066,62,
HAMMOND_shp,44.80561,-68.80098,64,
HAMMOND_shp,44.80561,-68.80139,66,
HAMMOND_shp,44.80688,-68.80426,70,
HAMMOND_shp,44.80706,-68.80446,72,
HAMMOND_shp,44.80744,-68.8047,74,
HAMMOND_shp,44.80761,-68.80487,76,
HAMMOND_shp,44.8077,-68.80505,78,
HAMMOND_shp,44.80784,-68.80556,80,
HAMMOND_shp,44.80802,-68.80597,82,
HAMMOND_shp,44.80705,-68.8069,86,
HAMMOND_shp,44.80639,-68.80741,90,
HAMMOND_shp,44.80622,-68.80725,92,
HAMMOND_shp,44.80611,-68.80719,94,
HAMMOND_shp,44.80553,-68.80704,96,
HAMMOND_shp,44.80132,-68.80601,100,
HAMMOND_shp,44.80096,-68.80599,102,
HAMMOND_shp,44.80052,-68.8061,104,
HAMMOND_shp,44.80015,-68.80633,106,
HAMMOND_shp,44.79991,-68.80573,108,
HAMMOND_shp,44.79972,-68.80545,110,
HAMMOND_shp,44.7995,-68.80524,112,
HAMMOND_shp,44.79914,-68.80503,114,
HAMMOND_shp,44.79826,-68.80476,116,
HAMMOND_shp,44.80024,-68.78732,120,
HAMMOND_shp,44.79995,-68.78672,122,
HAMMOND_shp,44.79554,-68.79099,126,
HAMMOND_shp,44.79243,-68.78423,130,
HAMMOND_shp,44.79903,-68.77784,140,
HAMMOND_shp,44.79695,-68.77361,144,
HAMMOND_shp,44.7988,-68.77264,148,
HAMMOND_shp,44.79971,-68.77217,150,
HAMMOND_shp,44.79961,-68.77133,156,
HAMMOND_shp,44.7995,-68.77039,160,
HAMMOND_shp,44.79996,-68.77059,164,
BREWER_N,44.79996,-68.77059,1,
BREWER_N,44.80004,-68.77068,2,
BREWER_N,44.80006,-68.77079,4,
BREWER_N,44.80006,-68.77088,6,
BREWER_N,44.80001,-68.77118,8,
BREWER_N,44.79961,-68.77133,10,
BREWER_N,44.7995,-68.77039,12,
BREWER_N,44.79889,-68.77017,14,
BREWER_N,44.79868,-68.77062,16,
BREWER_N,44.79851,-68.77074,18,
BREWER_N,44.79807,-68.77117,20,
BREWER_N,44.79767,-68.77162,22,
BREWER_N,44.79764,-68.77185,26,
BREWER_N,44.79772,-68.77206,28,
BREWER_N,44.79782,-68.77213,30,
BREWER_N,44.79795,-68.7721,32,
BREWER_N,44.79813,-68.77193,34,
BREWER_N,44.79821,-68.7717,36,
BREWER_N,44.79817,-68.77137,38,
BREWER_N,44.79807,-68.77117,40,
BREWER_N,44.79741,-68.76979,44,
BREWER_N,44.79636,-68.76834,46,
BREWER_N,44.79472,-68.76611,48,
