route_id,service_id,trip_id,trip_headsign,block_id,shape_id,wheelchair_accessible,bikes_allowed
HAMPDEN,WD,HAMPDENWD1,,,,1,1
HAMPDEN,WD,HAMPDENWD2,,,,1,1
HAMPDEN,WD,HAMPDENWD3,,,,1,1
HAMPDEN,WD,HAMPDENWD4,,,,1,1
HAMPDEN,WD,HAMPDENWD5,,,,1,1
HAMPDEN,WD,HAMPDENWD6,,,,1,1
HAMPDEN,WD,HAMPDENWD7,,,,1,1
HAMPDEN,WD,HAMPDENWD8,,,,1,1
HAMPDEN,WD,HAMPDENWD9,,,,1,1
HAMPDEN,WD,HAMPDENWD10,,,,1,1
HAMPDEN,WD,HAMPDENWD11,,,,1,1
HAMPDEN,WD,HAMPDENWD12,,,,1,1
MT_HOPE,WS,MT_HOPEWS1,,,,1,1
MT_HOPE,WS,MT_HOPEWS2,,,,1,1
MT_HOPE,WS,MT_HOPEWS3,,,,1,1
MT_HOPE,WS,MT_HOPEWS4,,,,1,1
MT_HOPE,WS,MT_HOPEWS5,,,,1,1
MT_HOPE,WS,MT_HOPEWS6,,,,1,1
MT_HOPE,WS,MT_HOPEWS7,,,,1,1
MT_HOPE,WS,MT_HOPEWS8,,,,1,1
MT_HOPE,WS,MT_HOPEWS9,,,,1,1
MT_HOPE,WS,MT_HOPEWS10,,,,1,1
STILLWATER,WS,STILLWATERWS1,,,,1,1
STILLWATER,WS,STILLWATERWS2,,,,1,1
STILLWATER,WS,STILLWATERWS3,,,,1,1
STILLWATER,WS,STILLWATERWS4,,,,1,1
STILLWATER,WS,STILLWATERWS5,,,,1,1
STILLWATER,WS,STILLWATERWS6,,,,1,1
STILLWATER,WS,STILLWATERWS7,,,,1,1
STILLWATER,WS,STILLWATERWS8,,,,1,1
STILLWATER,WS,STILLWATERWS9,,,,1,1
STILLWATER,WS,STILLWATERWS10,,,,1,1
STILLWATER,WS,STILLWATERWS11,,,,1,1
STILLWATER,WS,STILLWATERWS12,,,,1,1
MALL,WS,MALLWS1,,,,1,1
MALL,WS,MALLWS2,,,,1,1
MALL,WS,MALLWS3,,,,1,1
MALL,WS,MALLWS4,,,,1,1
